source_page,item,description,pairing,reasoning
page28,Savanna Light,Cider.,Merlot,Savanna Light suits a balanced wine with enough softness to support the dish.
page28,Loxtonia Crispy Apple Cider,Cider.,Merlot,Loxtonia Crispy Apple Cider suits a balanced wine with enough softness to support the dish.
page28,Loxtonia Stone Fruit Cider,Cider.,Merlot,Loxtonia Stone Fruit Cider suits a balanced wine with enough softness to support the dish.
page29,Glenfiddich 12 Year,Single malt whisky.,Merlot,Glenfiddich 12 Year suits a balanced wine with enough softness to support the dish.
page29,Glenfiddich 15 Year,Single malt whisky.,Merlot,Glenfiddich 15 Year suits a balanced wine with enough softness to support the dish.
page29,Glenfiddich 18 Year,Single malt whisky.,Merlot,Glenfiddich 18 Year suits a balanced wine with enough softness to support the dish.
page29,Glenfiddich 21 Year,Single malt whisky.,Merlot,Glenfiddich 21 Year suits a balanced wine with enough softness to support the dish.
page29,Glenfiddich 23 Year Old Grand Gru,Single malt whisky.,Merlot,Glenfiddich 23 Year Old Grand Gru suits a balanced wine with enough softness to support the dish.
page29,Glenfiddich 26 Year Old Grande Couronne,Single malt whisky.,Merlot,Glenfiddich 26 Year Old Grande Couronne suits a balanced wine with enough softness to support the dish.
page29,Johnnie Walker Blonde,Blended whisky.,Merlot,Johnnie Walker Blonde suits a balanced wine with enough softness to support the dish.
page29,Johnnie Walker Black,Blended whisky.,Merlot,Johnnie Walker Black suits a balanced wine with enough softness to support the dish.
page29,Johnnie Walker Gold,Blended whisky.,Merlot,Johnnie Walker Gold suits a balanced wine with enough softness to support the dish.
page29,Johnnie Walker Green,Blended whisky.,Merlot,Johnnie Walker Green suits a balanced wine with enough softness to support the dish.
page29,Johnnie Walker Blue,Blended whisky.,Merlot,Johnnie Walker Blue suits a balanced wine with enough softness to support the dish.
page29,Jameson,Irish whiskey.,Merlot,Jameson suits a balanced wine with enough softness to support the dish.
page29,Jameson Select Reserve,Irish whiskey.,Merlot,Jameson Select Reserve suits a balanced wine with enough softness to support the dish.
page29,Bells,Blended whisky.,Merlot,Bells suits a balanced wine with enough softness to support the dish.
page29,Jack Daniels,Tennessee whiskey.,Merlot,Jack Daniels suits a balanced wine with enough softness to support the dish.
page29,Bains Cape Mountain,Whisky.,Merlot,Bains Cape Mountain suits a balanced wine with enough softness to support the dish.
page29,Grants Tripple Wood 12 Year,Blended whisky.,Merlot,Grants Tripple Wood 12 Year suits a balanced wine with enough softness to support the dish.
page29,Bushmills Original,Irish whiskey.,Merlot,Bushmills Original suits a balanced wine with enough softness to support the dish.
page29,Bushmills Black,Irish whiskey.,Merlot,Bushmills Black suits a balanced wine with enough softness to support the dish.
page29,Cardu 12 Year,Single malt whisky.,Merlot,Cardu 12 Year suits a balanced wine with enough softness to support the dish.
page29,Macallan 15 Year,Single malt whisky.,Merlot,Macallan 15 Year suits a balanced wine with enough softness to support the dish.
page29,Glenlivet 18 Year,Single malt whisky.,Merlot,Glenlivet 18 Year suits a balanced wine with enough softness to support the dish.
page29,Glenmorangie 10 Year,Single malt whisky.,Merlot,Glenmorangie 10 Year suits a balanced wine with enough softness to support the dish.
page29,Singleton 12 Year,Single malt whisky.,Merlot,Singleton 12 Year suits a balanced wine with enough softness to support the dish.
page29,Balvenie 12 Year,Single malt whisky.,Merlot,Balvenie 12 Year suits a balanced wine with enough softness to support the dish.
page29,Lagavulin 16 Year,Single malt whisky.,Merlot,Lagavulin 16 Year suits a balanced wine with enough softness to support the dish.
page29,Pogues Irish Whisky,Irish whisky.,Merlot,Pogues Irish Whisky suits a balanced wine with enough softness to support the dish.
page30,Remy Martin 1738,Cognac.,Merlot,Remy Martin 1738 suits a balanced wine with enough softness to support the dish.
page30,Remy Martin VSOP,Cognac.,Merlot,Remy Martin VSOP suits a balanced wine with enough softness to support the dish.
page30,Remy Martin XO Excellence,Cognac.,Merlot,Remy Martin XO Excellence suits a balanced wine with enough softness to support the dish.
page30,Hennessy Very Special,Cognac.,Merlot,Hennessy Very Special suits a balanced wine with enough softness to support the dish.
page30,Hennessy VSOP Privilege,Cognac.,Merlot,Hennessy VSOP Privilege suits a balanced wine with enough softness to support the dish.
page30,Hennessy XO,Cognac.,Merlot,Hennessy XO suits a balanced wine with enough softness to support the dish.
page30,Jose Cuervo Clasico,Tequila.,Merlot,Jose Cuervo Clasico suits a balanced wine with enough softness to support the dish.
page30,Jose Cuervo Reposado,Tequila.,Merlot,Jose Cuervo Reposado suits a balanced wine with enough softness to support the dish.
page30,Jose Cuervo Tradicional Plata,Tequila.,Merlot,Jose Cuervo Tradicional Plata suits a balanced wine with enough softness to support the dish.
page30,Jose Cuervo Tradicional Reposado,Tequila.,Merlot,Jose Cuervo Tradicional Reposado suits a balanced wine with enough softness to support the dish.
page30,1800 Tequila Reposado,Tequila.,Merlot,1800 Tequila Reposado suits a balanced wine with enough softness to support the dish.
page30,Herencia Reposado,Tequila.,Merlot,Herencia Reposado suits a balanced wine with enough softness to support the dish.
page30,Herencia Anejo,Tequila.,Merlot,Herencia Anejo suits a balanced wine with enough softness to support the dish.
page30,Don Julio Blanco,Tequila.,Merlot,Don Julio Blanco suits a balanced wine with enough softness to support the dish.
page30,Don Julio Reposado,Tequila.,Merlot,Don Julio Reposado suits a balanced wine with enough softness to support the dish.
page30,Don Julio 1942 Anejo,Tequila.,Merlot,Don Julio 1942 Anejo suits a balanced wine with enough softness to support the dish.
page30,Clase Azul Reposado,Tequila.,Merlot,Clase Azul Reposado suits a balanced wine with enough softness to support the dish.
page30,Tanqueray,Gin.,Merlot,Tanqueray suits a balanced wine with enough softness to support the dish.
page30,Tanqueray Flor de Sevilla,Gin.,Merlot,Tanqueray Flor de Sevilla suits a balanced wine with enough softness to support the dish.
page30,Tanqueray Blackcurrant Royale,Gin.,Merlot,Tanqueray Blackcurrant Royale suits a balanced wine with enough softness to support the dish.
page30,Tanqueray No. 10,Gin.,Merlot,Tanqueray No. 10 suits a balanced wine with enough softness to support the dish.
page30,Amarula Gin,Gin.,Merlot,Amarula Gin suits a balanced wine with enough softness to support the dish.
page30,Musgrave Botanical,Gin.,Merlot,Musgrave Botanical suits a balanced wine with enough softness to support the dish.
page30,Musgrave Pink,Gin.,Merlot,Musgrave Pink suits a balanced wine with enough softness to support the dish.
page30,Woodstock Original,Gin.,Merlot,Woodstock Original suits a balanced wine with enough softness to support the dish.
page30,Woodstock Tangerine,Gin.,Merlot,Woodstock Tangerine suits a balanced wine with enough softness to support the dish.
page30,Hendricks,Gin.,Merlot,Hendricks suits a balanced wine with enough softness to support the dish.
page30,Whitley Neill Original,Gin.,Merlot,Whitley Neill Original suits a balanced wine with enough softness to support the dish.
page30,Klipdrift Premium,Brandy.,Merlot,Klipdrift Premium suits a balanced wine with enough softness to support the dish.
page30,Richelieu 10 Year,Brandy.,Merlot,Richelieu 10 Year suits a balanced wine with enough softness to support the dish.
page30,KWV 10 Year,Brandy.,Merlot,KWV 10 Year suits a balanced wine with enough softness to support the dish.
page30,Van Ryns 12 Year,Brandy.,Merlot,Van Ryns 12 Year suits a balanced wine with enough softness to support the dish.
page30,Cruz Vintage Black,Vodka.,Merlot,Cruz Vintage Black suits a balanced wine with enough softness to support the dish.
page30,Ciroc,Vodka.,Merlot,Ciroc suits a balanced wine with enough softness to support the dish.
page30,Belvedere,Vodka.,Merlot,Belvedere suits a balanced wine with enough softness to support the dish.
page30,Grey Goose,Vodka.,Merlot,Grey Goose suits a balanced wine with enough softness to support the dish.
page31,Captain Morgan Spiced Gold,Rum.,Merlot,Captain Morgan Spiced Gold suits a balanced wine with enough softness to support the dish.
page31,Captain Morgan Dark Rum,Rum.,Merlot,Captain Morgan Dark Rum suits a balanced wine with enough softness to support the dish.
page31,Bacardi Superior White,Rum.,Merlot,Bacardi Superior White suits a balanced wine with enough softness to support the dish.
page31,Bacardi Superior Black,Rum.,Merlot,Bacardi Superior Black suits a balanced wine with enough softness to support the dish.
page31,Makers Mark,Bourbon.,Merlot,Makers Mark suits a balanced wine with enough softness to support the dish.
page31,Buffalo Trace,Bourbon.,Merlot,Buffalo Trace suits a balanced wine with enough softness to support the dish.
page31,Blantons Original Single Barrel,Bourbon.,Merlot,Blantons Original Single Barrel suits a balanced wine with enough softness to support the dish.
page31,Southern Comfort Original,Liqueur.,Merlot,Southern Comfort Original suits a balanced wine with enough softness to support the dish.
page31,Sidekick Cookies & Cream,Liqueur.,Merlot,Sidekick Cookies & Cream suits a balanced wine with enough softness to support the dish.
page31,Kahlua,Liqueur.,Merlot,Kahlua suits a balanced wine with enough softness to support the dish.
page31,Frangelico,Liqueur.,Merlot,Frangelico suits a balanced wine with enough softness to support the dish.
page31,Amarula,Liqueur.,Merlot,Amarula suits a balanced wine with enough softness to support the dish.
page31,Cointreau,Liqueur.,Merlot,Cointreau suits a balanced wine with enough softness to support the dish.
page31,Jagermister,Digestif.,Merlot,Jagermister suits a balanced wine with enough softness to support the dish.
page31,Underberg,Digestif.,Merlot,Underberg suits a balanced wine with enough softness to support the dish.
page31,Ferreira Ruby,Port.,Merlot,Ferreira Ruby suits a balanced wine with enough softness to support the dish.
page31,Ferreira Tawny,Port.,Merlot,Ferreira Tawny suits a balanced wine with enough softness to support the dish.
page31,De Krans Cape Ruby,Port.,Merlot,De Krans Cape Ruby suits a balanced wine with enough softness to support the dish.
page31,Cinzano Bianco,Aperitif.,Merlot,Cinzano Bianco suits a balanced wine with enough softness to support the dish.
page31,Dalla Cia Grappa,Grappa.,Merlot,Dalla Cia Grappa suits a balanced wine with enough softness to support the dish.
page31,Aperol,Aperitif.,Merlot,Aperol suits a balanced wine with enough softness to support the dish.
page31,Campari,Aperitif.,Merlot,Campari suits a balanced wine with enough softness to support the dish.
page32,Cucumber Lemonade,Mocktail.,Merlot,Cucumber Lemonade suits a balanced wine with enough softness to support the dish.
page32,Frozen Mint Lemonade,Mocktail.,Merlot,Frozen Mint Lemonade suits a balanced wine with enough softness to support the dish.
page32,Frozen Pink Grapefruit Lemonade,Mocktail.,Merlot,Frozen Pink Grapefruit Lemonade suits a balanced wine with enough softness to support the dish.
page32,Original Lemonade,Mocktail.,Merlot,Original Lemonade suits a balanced wine with enough softness to support the dish.
page32,Strawberry Lemonade,Mocktail.,Merlot,Strawberry Lemonade suits a balanced wine with enough softness to support the dish.
page32,Coke,Soft drink.,Merlot,Coke suits a balanced wine with enough softness to support the dish.
page32,Coke Zero,Soft drink.,Merlot,Coke Zero suits a balanced wine with enough softness to support the dish.
page32,Coke Light,Soft drink.,Merlot,Coke Light suits a balanced wine with enough softness to support the dish.
page32,Sprite,Soft drink.,Merlot,Sprite suits a balanced wine with enough softness to support the dish.
page32,Sprite Zero,Soft drink.,Merlot,Sprite Zero suits a balanced wine with enough softness to support the dish.
page32,Fanta,Soft drink.,Merlot,Fanta suits a balanced wine with enough softness to support the dish.
page32,Cream Soda,Soft drink.,Merlot,Cream Soda suits a balanced wine with enough softness to support the dish.
page32,Lemon Ice Tea,Ice tea.,Merlot,Lemon Ice Tea suits a balanced wine with enough softness to support the dish.
page32,Peach Ice Tea,Ice tea.,Merlot,Peach Ice Tea suits a balanced wine with enough softness to support the dish.
page32,Appletiser,Tiser.,Merlot,Appletiser suits a balanced wine with enough softness to support the dish.
page32,Grapetiser,Tiser.,Merlot,Grapetiser suits a balanced wine with enough softness to support the dish.
page32,La Vie Still 250ml,Water.,Merlot,La Vie Still 250ml suits a balanced wine with enough softness to support the dish.
page32,La Vie Sparkling 250ml,Water.,Merlot,La Vie Sparkling 250ml suits a balanced wine with enough softness to support the dish.
page32,La Vie Still 750ml,Water.,Merlot,La Vie Still 750ml suits a balanced wine with enough softness to support the dish.
page32,La Vie Sparkling 750ml,Water.,Merlot,La Vie Sparkling 750ml suits a balanced wine with enough softness to support the dish.
page32,Vanilla Shake,Shake.,Sauvignon Blanc,"Vanilla Shake is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page32,Chocolate Shake,Shake.,Sauvignon Blanc,"Chocolate Shake is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page32,Bar One Shake,Special shake.,Sauvignon Blanc,"Bar One Shake is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page32,Hazelnut Shake,Special shake.,Sauvignon Blanc,"Hazelnut Shake is fresh or delicate, so a crisp white keeps the flavour clean and lively."
page32,Orange Juice,Juice.,Merlot,Orange Juice suits a balanced wine with enough softness to support the dish.
page32,Fruit Cocktail Juice,Juice.,Merlot,Fruit Cocktail Juice suits a balanced wine with enough softness to support the dish.
page32,Mango Juice,Juice.,Merlot,Mango Juice suits a balanced wine with enough softness to support the dish.
page32,Strawberry Juice,Berry juice.,Merlot,Strawberry Juice suits a balanced wine with enough softness to support the dish.
page32,Cranberry Juice,Berry juice.,Merlot,Cranberry Juice suits a balanced wine with enough softness to support the dish.
page32,Passion Fruit Cordial,Cordial.,Merlot,Passion Fruit Cordial suits a balanced wine with enough softness to support the dish.
page32,Lime Cordial,Cordial.,Merlot,Lime Cordial suits a balanced wine with enough softness to support the dish.
page32,Cola Tonic Cordial,Cordial.,Merlot,Cola Tonic Cordial suits a balanced wine with enough softness to support the dish.
page32,Bitters Cordial,Cordial.,Merlot,Bitters Cordial suits a balanced wine with enough softness to support the dish.
page32,Dom Pedro,Hot drink.,Merlot,Dom Pedro suits a balanced wine with enough softness to support the dish.
page32,Dom Amarula,Hot drink.,Merlot,Dom Amarula suits a balanced wine with enough softness to support the dish.
page32,Dom Kahlua,Hot drink.,Merlot,Dom Kahlua suits a balanced wine with enough softness to support the dish.
page32,Irish Coffee,Hot drink.,Merlot,Irish Coffee suits a balanced wine with enough softness to support the dish.
page32,Kahlua Coffee,Hot drink.,Merlot,Kahlua Coffee suits a balanced wine with enough softness to support the dish.
page32,Americano Coffee,Coffee.,Merlot,Americano Coffee suits a balanced wine with enough softness to support the dish.
page32,Decaf Cappuccino,Coffee.,Merlot,Decaf Cappuccino suits a balanced wine with enough softness to support the dish.
page32,Cappuccino,Coffee.,Merlot,Cappuccino suits a balanced wine with enough softness to support the dish.
page32,Cafe Late,Coffee.,Merlot,Cafe Late suits a balanced wine with enough softness to support the dish.
page32,Espresso Single,Coffee.,Merlot,Espresso Single suits a balanced wine with enough softness to support the dish.
page32,Espresso Double,Coffee.,Merlot,Espresso Double suits a balanced wine with enough softness to support the dish.
page32,Macchiatto,Coffee.,Merlot,Macchiatto suits a balanced wine with enough softness to support the dish.
page32,Five Roses,Tea.,Merlot,Five Roses suits a balanced wine with enough softness to support the dish.
page32,Rooibos,Tea.,Merlot,Rooibos suits a balanced wine with enough softness to support the dish.
page32,Green,Tea.,Merlot,Green suits a balanced wine with enough softness to support the dish.
page32,Earl Grey,Tea.,Merlot,Earl Grey suits a balanced wine with enough softness to support the dish.
page33,Margarita,Tequila cocktail.,Merlot,Margarita suits a balanced wine with enough softness to support the dish.
page33,Cosmopolitan,Vodka cocktail.,Merlot,Cosmopolitan suits a balanced wine with enough softness to support the dish.
page33,Martini Gin,Gin cocktail.,Merlot,Martini Gin suits a balanced wine with enough softness to support the dish.
page33,Mojito,Rum cocktail.,Merlot,Mojito suits a balanced wine with enough softness to support the dish.
page33,Pina Colada,Rum cocktail.,Merlot,Pina Colada suits a balanced wine with enough softness to support the dish.
page33,Fruit Daiquiri,Rum cocktail.,Merlot,Fruit Daiquiri suits a balanced wine with enough softness to support the dish.
page33,Flavoured Mojito,Rum cocktail.,Merlot,Flavoured Mojito suits a balanced wine with enough softness to support the dish.
page33,Cucumber and Mint G&T,Gin and tonic.,Merlot,Cucumber and Mint G&T suits a balanced wine with enough softness to support the dish.
page33,Hibiscus and Mint G&T,Gin and tonic.,Merlot,Hibiscus and Mint G&T suits a balanced wine with enough softness to support the dish.
page33,Pink Grapefruit and Rosemary G&T,Gin and tonic.,Merlot,Pink Grapefruit and Rosemary G&T suits a balanced wine with enough softness to support the dish.
page33,Johnnie Blonde and Tonic,Whisky and tonic.,Merlot,Johnnie Blonde and Tonic suits a balanced wine with enough softness to support the dish.
page33,Watermelon Gin Bull,Gin and energy drink.,Merlot,Watermelon Gin Bull suits a balanced wine with enough softness to support the dish.
page33,Glenfiddich 12 Year Whisky Sour,Whisky sour.,Merlot,Glenfiddich 12 Year Whisky Sour suits a balanced wine with enough softness to support the dish.
page33,Remy Martin 1738 Side Car,Cognac cocktail.,Merlot,Remy Martin 1738 Side Car suits a balanced wine with enough softness to support the dish.
page33,Don Margarita,Tequila cocktail.,Merlot,Don Margarita suits a balanced wine with enough softness to support the dish.
