index,category,item,description,wine_pairing,beer_pairing,cocktail_pairing,reasoning
130,Vegetarian,Veg Burger,Veg patty on tomato and rocket with tomato chilli jam.,Sauvignon Blanc,Lager,Aperol Spritz,The tomato chilli jam and lighter patty need a pairing that stays bright and energetic.
131,Vegetarian,Veg Platter,"Greek salad with fried halloumi, veg patty, grilled mushrooms, vegetables and sauce.",Sauvignon Blanc,Lager,Aperol Spritz,"A mixed vegetarian plate works best with a clean, refreshing pairing that can move across different textures."
132,Vegetarian,Halloumi Burger,Fried halloumi on tomato and rocket with tomato chilli jam.,Sauvignon Blanc,Lager,Aperol Spritz,"Halloumi is salty and rich, so the pairing must cut through it and keep the burger feeling lively."
133,Side,Mashed Potatoes,Side of creamy mashed potatoes.,Chardonnay,Lager,Gin and Tonic,Creamy mash works best with a pairing that keeps the meal from becoming too heavy on the palate.
134,Side,Creamed Spinach,Side of creamed spinach.,Chardonnay,Light Lager,Gin and Tonic,The creaminess needs freshness and a clean finish to stop the side from weighing down the plate.
135,Side,Onion Rings,Side of golden fried onion rings.,Sauvignon Blanc,Lager,Margarita,Fried sides need acidity and freshness so the crunch stays appealing rather than greasy.
136,Side,Steakhouse Chips,Side of steakhouse chips.,Sauvignon Blanc,Lager,Margarita,"A crisp, refreshing drink is the natural partner for chips because it cuts through the salt and fried finish."
137,Side,Sautéed Mushrooms with Fresh Herbs,Sautéed mushrooms finished with fresh herbs.,Pinot Noir,Amber Lager,Negroni,Earthy mushrooms like a drink with a little savoury depth rather than something too bright or sweet.
138,Side,Savoury Rice,Side of savoury rice.,Chenin Blanc,Light Lager,Gin and Tonic,"Rice is neutral enough to like a simple, clean pairing that does not crowd the main meal."
139,Side,Sweet Pumpkin,Side of sweet pumpkin.,Chenin Blanc,Light Lager,Aperol Spritz,The natural sweetness of pumpkin works well with a pairing that stays fresh and slightly aromatic.
140,Side,Tomato & Onion Salad,Side tomato and onion salad.,Sauvignon Blanc,Light Lager,Aperol Spritz,"A bright, acidic side wants an equally bright pairing to keep the freshness front and centre."
141,Side,Steamed Potatoes & Sour Cream,Steamed potatoes served with sour cream.,Chardonnay,Light Lager,Gin and Tonic,"The sour cream adds richness, so the pairing should clean up the palate and keep the side feeling light."
142,Side,Tomato and Avo Salad,Side salad of tomato and avocado.,Sauvignon Blanc,Light Lager,Aperol Spritz,"Avocado adds creaminess, so the drink needs enough acidity to keep the salad feeling sharp and fresh."
143,Side,Side Green Salad,Simple green side salad.,Sauvignon Blanc,Light Lager,Aperol Spritz,"Green salad is at its best with a crisp, uncomplicated pairing that mirrors its freshness."
144,Side,Add Feta,Feta add-on for salads or sides.,Sauvignon Blanc,Light Lager,Aperol Spritz,"Feta adds salt and tang, so a bright pairing naturally supports it best."
145,Dessert,Duo of Ice Cream,Two scoops of chocolate and vanilla ice cream.,Moscato,Stout,Espresso Martini,"A sweet dessert like this wants either a soft, sweet match or a roasted contrast to keep it interesting."
146,Dessert,Trio of Ice Cream,"Three scoops of chocolate, caramel and vanilla ice cream.",Moscato,Stout,Espresso Martini,The sweetness and creamy texture need a pairing that feels indulgent enough to sit beside them comfortably.
147,Dessert,Cape Malva Pudding,Cape malay pudding served with vanilla ice cream.,Moscato,Stout,Espresso Martini,"Malva pudding is warm, sweet and comforting, so a soft dessert-style pairing or roasted cocktail works naturally."
148,Dessert,Red Velvet Cake,Moist red velvet cake layered with creamy cheese frosting.,Moscato,Cream Ale,French Martini,"The cake is sweet but not overly dark, so the pairing should stay smooth, playful and polished."
149,Dessert,Death by Chocolate Cake,Chocolate sponge layered with buttercream and dark chocolate ganache.,Port,Stout,Baileys Espresso Martini,A dessert this rich needs a pairing with enough depth and sweetness to stand shoulder to shoulder with it.
150,Dessert,Chocolate Brownie,Warm chocolate brownie with nuts served with ice cream.,Port,Stout,Baileys Espresso Martini,"Chocolate brownie loves deep, indulgent pairings because lighter options get lost next to the richness."
